Gene ID,log2FC,p-value,Significant
RPL36A-HNRNPH2,0.223386119,0.020037151,Yes
TRIM36,-0.43099936,0.020037811,Yes
EVI5L,-0.237433241,0.02004904,Yes
CARF,-0.370896204,0.020050186,Yes
ZNF19,0.42853557,0.020051485,Yes
BRSK2,-0.24909361,0.020054459,Yes
TRIM65,-0.334613444,0.020074736,Yes
GIMAP8,-0.380442827,0.020089715,Yes
ITIH2,-0.470215964,0.020110339,Yes
LRRC1,0.482330696,0.020135031,Yes
RTL9,-0.438507111,0.020174857,Yes
SMC1A,0.270694114,0.020175147,Yes
LOC102724642,-0.481348278,0.020191448,Yes
ZNF586,0.459907493,0.020196257,Yes
SNX10,-0.369278288,0.020210225,Yes
CMC4,0.427210531,0.020215785,Yes
MAML2,0.482912635,0.020222021,Yes
RRS1,0.2712371,0.020225241,Yes
SDF4,0.313577392,0.020234027,Yes
LDB2,-0.463349377,0.020239579,Yes
KYAT3,-0.427346452,0.020242059,Yes
RHOC,0.486265385,0.020248385,Yes
PEG3-AS1,-0.388664734,0.020251507,Yes
C1orf43,0.225764061,0.020263836,Yes
TOPORS,0.201557358,0.020268922,Yes
TAL1,0.483952712,0.020271889,Yes
CYP51A1,-0.290891923,0.020278551,Yes
SMYD2,-0.407201433,0.020285055,Yes
IL17RD,0.454423222,0.020298539,Yes
ADPRHL1,-0.357181286,0.020306229,Yes
NBPF26,0.479508192,0.020331788,Yes
CTNNA1,0.392288148,0.020342325,Yes
GPC5,0.482339346,0.020343935,Yes
MFN1,-0.330903507,0.020349661,Yes
HAUS1,0.337722303,0.02038087,Yes
SLC25A17,-0.306249833,0.020395397,Yes
NTRK3,-0.366469228,0.02041838,Yes
ARMCX6,0.35632926,0.020423486,Yes
HAX1,0.281568674,0.020429415,Yes
DCTD,0.184822234,0.020429973,Yes
TM6SF1,-0.334719541,0.020446833,Yes
SRGAP2D,-0.331338569,0.020455207,Yes
ATP6V1G1,0.23907925,0.020468606,Yes
SAYSD1,0.250351637,0.02048991,Yes
MYO1D-DT,-0.497377842,0.020512515,Yes
RPL21,0.421115053,0.020528698,Yes
B3GNT5,0.463809362,0.020530158,Yes
CHRDL1,0.419101731,0.020538802,Yes
RPAP3-DT,0.45039525,0.020549388,Yes
TENM4,-0.429439653,0.020560101,Yes
CA5B,0.439500964,0.020563853,Yes
MFSD4A,-0.501214032,0.020569383,Yes
WARS2-AS1,0.392879297,0.020571398,Yes
EMX2OS,0.463535884,0.020579615,Yes
ZNF875,-0.218872626,0.020579889,Yes
RNF216P1,0.377037366,0.020586351,Yes
PNMT,-0.464454095,0.020593235,Yes
CD151,0.458538557,0.020597217,Yes
RPL27A,0.43217417,0.020600731,Yes
CFAP52,-0.466153134,0.020613176,Yes
STAMBPL1,-0.450355572,0.020614334,Yes
PDGFRL,0.435350365,0.020634701,Yes
ZNF774,-0.432877041,0.020636424,Yes
ZC3H11C,-0.271237185,0.020643221,Yes
LY86-AS1,-0.465797017,0.020677468,Yes
MSANTD3,-0.284688436,0.020685136,Yes
PTGS2,-0.409692275,0.020687261,Yes
MTX3,-0.404124554,0.020700932,Yes
CTNNBL1,0.245448274,0.020716098,Yes
SLC9A8,-0.230475072,0.020717909,Yes
SNHG29,0.428271988,0.020732725,Yes
CAMKMT,0.424383053,0.0207503,Yes
ATP2C2,-0.412679736,0.020762307,Yes
EMX1,-0.341661453,0.020780474,Yes
CETN2,0.245098031,0.020819734,Yes
ABI3BP,0.482835128,0.020823091,Yes
ICAM3,-0.277045974,0.02084241,Yes
PKIB,0.429053065,0.020847267,Yes
HAAO,0.451522775,0.020860106,Yes
LOC107984974,0.404948826,0.020861928,Yes
CRELD2,0.423014565,0.020878414,Yes
TARDBPP3,0.338294298,0.020896311,Yes
MEF2D,-0.44778392,0.020899674,Yes
PIP5K1A,-0.234683377,0.020967247,Yes
ZNF627,0.220801258,0.020977757,Yes
HMGN3,0.433350024,0.020982597,Yes
EDN3,-0.471307207,0.020987144,Yes
NEUROD1,0.478716426,0.020989992,Yes
MRPS34,0.261414022,0.021015817,Yes
DYNLT1,0.471096829,0.021018063,Yes
ARHGDIG,-0.356643894,0.021021701,Yes
COX7A2L,0.208287242,0.021022955,Yes
MED24,-0.273150046,0.021069193,Yes
ADAMTS19,-0.431619306,0.021073686,Yes
LOC105372061,0.45630344,0.021094369,Yes
SNX13,-0.26530716,0.021111633,Yes
NATD1,0.374361708,0.021113014,Yes
MYH3,-0.439873974,0.021121966,Yes
POC1B,0.370800046,0.021131892,Yes
CTNNA2,0.293446462,0.021155315,Yes
KNDC1,-0.320472413,0.021184443,Yes
CTSS,0.468700754,0.021187339,Yes
RPS15,0.445012952,0.021196602,Yes
FUNDC2,0.301295618,0.021241115,Yes
PRDX4,0.389103029,0.021308198,Yes
PHC1,0.255501249,0.021328166,Yes
GABRG1,0.460686965,0.021332271,Yes
ZNF594-DT,-0.402971683,0.021350981,Yes
LEPROT,0.457233779,0.021353702,Yes
COL20A1,-0.469088946,0.021362052,Yes
NPAS3,0.469503835,0.02136494,Yes
MFSD4A-AS1,-0.472191674,0.021368235,Yes
AMN1,-0.267187588,0.021442693,Yes
LARP4,0.322199725,0.021444877,Yes
COL8A1,0.36240692,0.021445429,Yes
RPL18,0.450090869,0.021457446,Yes
LOC105375785,-0.411968227,0.021464541,Yes
ITPR3,0.433398022,0.021466036,Yes
ZMIZ2,0.297937222,0.021469997,Yes
TRPA1,-0.476452386,0.021484499,Yes
LPP-AS2,0.444574015,0.021529755,Yes
CABP1-DT,-0.464523819,0.021533524,Yes
MTTP,0.454903932,0.021555958,Yes
HSP90AA1,0.474055613,0.021565052,Yes
GLCE,-0.468033715,0.021565765,Yes
FAM136A,0.192668879,0.021570353,Yes
CNIH3,-0.380202582,0.021574249,Yes
CD47,-0.371801186,0.02157701,Yes
MYC,1.387563723,0.021601663,Yes
ZNF506,-0.284964505,0.021624002,Yes
IGF1,-0.468722417,0.021624607,Yes
KDM5A,0.323347486,0.021637633,Yes
CXCL16,0.462520533,0.021672634,Yes
MCTP1,-0.394106184,0.021708675,Yes
SHROOM2,-0.365787208,0.021724451,Yes
PGAM2,0.404418305,0.021735379,Yes
SLCO4C1,-0.480247282,0.021740444,Yes
PLOD3,0.443379739,0.021740452,Yes
ALDH5A1,0.253708971,0.021741769,Yes
ARPC1B,0.462963924,0.021760307,Yes
GPR68,-0.426050962,0.021762338,Yes
HDAC10,-0.325104222,0.021777153,Yes
SLC2A9,0.422726622,0.021781827,Yes
SH2B3,-0.331439735,0.021818557,Yes
NFE2L2,0.466233642,0.021829697,Yes
FIZ1,0.384478991,0.021848671,Yes
ATL3,0.32878603,0.021861279,Yes
LOC107984328,0.365806672,0.021862749,Yes
CFAP58-DT,0.420800612,0.021864738,Yes
TBCEL,-0.270601597,0.021876915,Yes
ITGA9,-0.451154397,0.021926515,Yes
GDE1,-0.219747539,0.021933291,Yes
ATP13A3,-0.342843012,0.021945557,Yes
CHAC1,0.435679527,0.021956537,Yes
CFAP90,0.429856465,0.021970859,Yes
APBB2,-0.322571015,0.022012367,Yes
ELOVL4,-0.415663598,0.022019939,Yes
SOX13,0.427262714,0.022040585,Yes
WDFY3-AS2,0.466041352,0.022070503,Yes
ARFGEF2,-0.429343411,0.022092334,Yes
ZNF232-AS1,-0.386077233,0.022118239,Yes
CHL1-AS1,-0.342537939,0.022159111,Yes
STXBP4,0.43942022,0.022161188,Yes
ARPP21,-0.451635183,0.022196198,Yes
USP34,-0.347403041,0.022198392,Yes
EPRS1,0.285316502,0.022204178,Yes
IL4I1,0.441745892,0.022205696,Yes
ZNF646,-0.250229477,0.022221214,Yes
OAS3,0.453152634,0.022226775,Yes
PDE4DIPP6,0.437119102,0.022233786,Yes
CACNA1B,-0.455592485,0.022238263,Yes
PAPOLA,0.383284155,0.022239904,Yes
FAM227A,0.4034784,0.022254941,Yes
CPZ,-0.456868783,0.022256797,Yes
MRPS31P5,-0.354122665,0.022258119,Yes
PALM3,0.390674881,0.022296812,Yes
BOD1L1,-0.416737665,0.022316287,Yes
NMNAT3,0.320902631,0.022322724,Yes
CFAP300,0.445766672,0.02235083,Yes
LINC02600,0.34952331,0.02235864,Yes
HIPK1,0.225878428,0.022362406,Yes
FAM229A,0.419530913,0.022397622,Yes
LOC107986160,0.447982111,0.022401346,Yes
CCDC144BP,-0.459635619,0.022412973,Yes
BDKRB2,-0.463455367,0.022418194,Yes
KCNK10,-0.368160751,0.022421043,Yes
MPDZ,-0.300949211,0.022422241,Yes
MARVELD1,-0.431094725,0.02244426,Yes
ZNF329,-0.341683076,0.022461689,Yes
SPTSSA,0.337134239,0.022463182,Yes
PVT1,0.4201245,0.022466268,Yes
TTC38,0.44891816,0.02246787,Yes
RSC1A1,-0.443096309,0.02247133,Yes
GOLM2,0.256239091,0.02249641,Yes
ERBIN,0.444932223,0.022524924,Yes
LYPLAL1-DT,0.433302685,0.022529626,Yes
VAMP5,0.445027911,0.022532272,Yes
BIVM,-0.273938874,0.022533136,Yes
IFNAR2,0.241753955,0.022545784,Yes
PCSK1,-0.424663906,0.022558214,Yes
GJD4,-0.474082241,0.022563737,Yes
DPY30,0.298284777,0.022566971,Yes
MSTO2P,-0.265441191,0.022569568,Yes
PRSS16,-0.415731245,0.022606851,Yes
PSME2,0.370710301,0.022628493,Yes
PRMT8,-0.430128332,0.02264931,Yes
RBM39,0.315748651,0.02266997,Yes
FAM153A,-0.375889594,0.022672805,Yes
S1PR5,-0.271671336,0.02267631,Yes
LY6E,-0.253201918,0.022701462,Yes
CLBA1,-0.419013285,0.022707732,Yes
EZR-AS1,0.424761464,0.022713411,Yes
HTR4,-0.337540767,0.022721777,Yes
PRKD3,0.430649677,0.022734476,Yes
SACM1L,-0.306766924,0.022742734,Yes
NUDT4B,-0.306822649,0.022780753,Yes
AOPEP,-0.328317539,0.022800507,Yes
CXCL12,-0.324429476,0.022826008,Yes
ZNF667-AS1,0.30531207,0.022851259,Yes
LSM14B,-0.296487661,0.02285656,Yes
MYO1F,0.405025159,0.022856646,Yes
PRTG,0.427547326,0.022862073,Yes
TMEM241,-0.373796744,0.022864819,Yes
HMOX2,-0.272734895,0.022877886,Yes
CRYZL2P-SEC16B,-0.325491539,0.022881949,Yes
NPTN,-0.40284103,0.022896174,Yes
CIITA,0.366330025,0.022906075,Yes
TSPAN5,-0.330704058,0.022908916,Yes
ITPKC,0.450212883,0.022929151,Yes
SCRN3,-0.26639057,0.022959277,Yes
ROMO1,0.377944405,0.022982909,Yes
CHRM1,-0.437692119,0.023004802,Yes
HHLA3,0.276476879,0.023013444,Yes
CYP4V2,0.448187366,0.023050908,Yes
CITED2,-0.424569013,0.023057078,Yes
FOS,0.197931708,0.02306249,Yes
SNRPG,0.404971001,0.023076796,Yes
ZNF890P,-0.470857675,0.023082386,Yes
PPP1R18,0.406208224,0.023087538,Yes
P4HA2-AS1,0.417223989,0.023087724,Yes
DNAJC16,-0.338528773,0.023089439,Yes
OPCML,-0.438447499,0.02309032,Yes
ZNF790,0.269131803,0.023097159,Yes
PHF5A,0.337218234,0.023110534,Yes
RRP12,-0.336206364,0.023110664,Yes
KLF9-DT,-0.406098145,0.023131536,Yes
RPAP1,0.26713431,0.023133755,Yes
GLIS2,0.456033504,0.023145107,Yes
LOC105378604,0.334462139,0.023145646,Yes
SLC2A14,-0.387849854,0.023148574,Yes
JOSD1,-0.204350897,0.023149193,Yes
VPS13A,-0.402980086,0.023159579,Yes
ARHGEF11,-0.350265346,0.023168228,Yes
ZFP64,-0.345930853,0.023185907,Yes
TOR1AIP1,0.316553479,0.02318743,Yes
GABPA,0.266599497,0.023215418,Yes
NR3C1,-0.262876846,0.023223416,Yes
SATB2-AS1,-0.413953939,0.02322852,Yes
IFT122,-0.357320551,0.023269022,Yes
CEP97,-0.340864777,0.023275419,Yes
HLA-DRB6,0.412757277,0.023282095,Yes
PPP1R14C,-0.3753896,0.023303792,Yes
H2AC6,0.44899886,0.023308011,Yes
LPIN1,0.242281035,0.023308829,Yes
UXT-AS1,0.39885375,0.023316997,Yes
SNRPD2,0.307024204,0.023345087,Yes
RPL36A,0.425777212,0.023389812,Yes
SOX3,0.241324126,0.023395751,Yes
ZBTB39,-0.359662838,0.023407041,Yes
GBA1,-0.298459204,0.023407934,Yes
MOCS3,-0.342665964,0.023408976,Yes
LOC105371480,0.442599037,0.023428869,Yes
CTXN1,-0.36472524,0.023436457,Yes
DERL3,0.434989507,0.0234701,Yes
CEP290,-0.294553975,0.023490553,Yes
PODNL1,0.42394698,0.023508627,Yes
DGKQ,-0.340931785,0.023518864,Yes
RNF182,0.440097321,0.023524347,Yes
METTL8,-0.252727946,0.023526474,Yes
PIK3R1,-0.394396374,0.023542825,Yes
MKLN1-AS,0.415080334,0.023549634,Yes
RGS7,-0.387483629,0.023558945,Yes
CALB1,-0.307375874,0.023567305,Yes
IDH3A,-0.184832612,0.023579343,Yes
EMILIN1,0.440731575,0.023584254,Yes
FSIP1,-0.455234493,0.023592354,Yes
EIF1,0.337251703,0.02360705,Yes
ZNF217,0.44737795,0.023618067,Yes
MMS22L,0.357159989,0.023619145,Yes
ANKRD13B,-0.23903591,0.023623612,Yes
PARD6G,0.437124242,0.023636489,Yes
SALL1,0.439595553,0.023685651,Yes
GABARAP,0.323683675,0.023709875,Yes
MIR4761,0.441080309,0.02373562,Yes
NCOA7,-0.453307361,0.023782776,Yes
CLOCK,-0.410478664,0.023794366,Yes
ZMYM2,-0.320170104,0.023809172,Yes
ITPRIPL2,0.384521938,0.023817729,Yes
PTPRN,-0.425499385,0.023825716,Yes
CCR1,0.247877512,0.023831916,Yes
ELAVL4,-0.348521164,0.02385128,Yes
CNMD,0.440025558,0.023860338,Yes
SRCAP,-0.277707404,0.023865726,Yes
PKMYT1,-0.416456965,0.023890201,Yes
ST20-MTHFS,0.40865741,0.023893671,Yes
PFDN5,0.367678943,0.023940342,Yes
ETS2,-0.366844678,0.02404809,Yes
ATPAF2,0.328383169,0.024057135,Yes
FUT9,-0.371167413,0.024064788,Yes
NDST1,-0.339561313,0.02406722,Yes
DNM1,-0.440208561,0.024091246,Yes
MTMR9,-0.386547121,0.024098498,Yes
TMEM161B,-0.330532641,0.024106911,Yes
SACS,-0.44198603,0.0241076,Yes
HSD17B12,0.352619037,0.024157617,Yes
ZNF860,-0.465565586,0.024160394,Yes
SERPINE1,2.541991822,0.02420051,Yes
ELMO1-AS1,-0.441790947,0.024210131,Yes
CFP,0.436016327,0.024229254,Yes
NELFCD,0.307615805,0.024229716,Yes
PTOV1,0.28839016,0.024264063,Yes
NOC3L,0.238720854,0.024267698,Yes
CDK8,-0.299188046,0.024272661,Yes
RNA18SN1,0.034288575,0.0243303,Yes
WDR45B,0.353638332,0.024350076,Yes
GSKIP,-0.363617643,0.024355426,Yes
MDFIC,0.440526721,0.024371783,Yes
FSD2,0.434355754,0.024372565,Yes
NUDT22,-0.362067321,0.024383192,Yes
TPT1-AS1,0.312321692,0.024385163,Yes
METRNL,0.442340033,0.024396419,Yes
UBE2O,-0.415901095,0.024419975,Yes
LRRN1,-0.32221506,0.024422188,Yes
NXT2,0.442998369,0.024437141,Yes
COL25A1,-0.440978066,0.024437771,Yes
MFSD14CP,-0.313409876,0.024444719,Yes
EIF4A3,0.217277935,0.024455115,Yes
LOC107987116,0.221841986,0.024457805,Yes
CCNA1,-0.438905415,0.02446755,Yes
H4C15,0.431902851,0.024472478,Yes
CLK1,0.324685273,0.024495552,Yes
WASF2,0.443578794,0.024504036,Yes
RHBDL1,-0.397142803,0.02450816,Yes
ECSIT,0.255650274,0.024526859,Yes
STON2,0.399711034,0.0245346,Yes
PTPRN2,-0.380815066,0.024547151,Yes
NIBAN1,0.422547412,0.024581187,Yes
DPY19L3,0.439085516,0.024611821,Yes
ZDHHC11,-0.415517997,0.024615714,Yes
NBPF15,0.338635177,0.024617055,Yes
NKX3-1,0.399055675,0.024624614,Yes
RNF17,-0.318733387,0.024637304,Yes
TSG101,0.210517955,0.024654155,Yes
RNA18SN3,0.033446913,0.024686979,Yes
TMEM59,0.151130609,0.024688372,Yes
LINC02983,-0.389999609,0.024690035,Yes
ITSN2,-0.365231787,0.02470921,Yes
LOC102724479,0.434842715,0.024710287,Yes
ECPAS,-0.322508416,0.024739263,Yes
GNAI1,-0.396254971,0.024751194,Yes
SATB1,-0.375399633,0.024751744,Yes
AP3M1,0.22888742,0.02478485,Yes
ABAT,0.24670813,0.024799096,Yes
NDUFA9,-0.216511779,0.024811248,Yes
LOC107985661,-0.440797052,0.024815139,Yes
ATP10D,0.365396721,0.024885476,Yes
ZNF154,-0.251205159,0.024898882,Yes
KLF5,0.438874647,0.024936852,Yes
ALCAM,-0.341954642,0.024982171,Yes
NECAB1,-0.361171477,0.024986047,Yes
EXOSC4,0.281478387,0.024993129,Yes
SNRNP27,0.224239432,0.025013338,Yes
HINT3,-0.23356246,0.025019505,Yes
PANK3,-0.376720691,0.025021895,Yes
CALHM2,-0.34998001,0.025032126,Yes
BET1,0.243367463,0.025038358,Yes
TBRG1,-0.34597912,0.025059296,Yes
ATRN,-0.425900412,0.025064811,Yes
PLEKHM2,0.389933295,0.025120126,Yes
LOC105371729,0.329911019,0.02514841,Yes
CAPN9,0.418011377,0.025155562,Yes
GLT8D2,-0.420019281,0.025187772,Yes
TGIF2-RAB5IF,0.345163344,0.025189951,Yes
GRAMD1C,0.366400202,0.025257098,Yes
KCNJ2-AS1,-0.43691105,0.025273504,Yes
LAMTOR5,0.280028093,0.025300983,Yes
ZNF790-AS1,-0.366295368,0.025319511,Yes
TBC1D9,-0.434394991,0.025357803,Yes
ALKBH7,0.331478781,0.025386757,Yes
DISP2,-0.342413413,0.025389484,Yes
MIR7-3HG,-0.429100401,0.025394642,Yes
RAB8B,0.255263497,0.025430579,Yes
SLC25A22,-0.287277703,0.025446364,Yes
RPS6KA3,-0.370756852,0.02545269,Yes
DLG3,-0.419235619,0.025471226,Yes
HCST,0.425265209,0.025471686,Yes
SYT1,-0.393742431,0.025471768,Yes
SLC25A13,-0.335452566,0.02547218,Yes
HPS5,0.419590884,0.025516946,Yes
CHORDC1P4,0.436209272,0.025522061,Yes
CDIP1,0.230502467,0.025528293,Yes
IL1RAPL2,-0.414538345,0.025566509,Yes
ZNF410,0.301020901,0.025598413,Yes
BICD2,-0.304038245,0.025630998,Yes
CDKAL1,0.27828767,0.02563706,Yes
HBQ1,-0.395834842,0.025672949,Yes
MRPL52,0.379680086,0.025694663,Yes
TMC7,-0.427315398,0.025709268,Yes
PSMB8-AS1,0.429535567,0.025711706,Yes
GRIA2,-0.434604603,0.025712384,Yes
ZNF501,0.353266789,0.025735218,Yes
ARPC5L,-0.268430028,0.025736487,Yes
RHEBL1,-0.435333054,0.025739112,Yes
TCF7L2,0.431805823,0.025743622,Yes
PRORP,0.319297649,0.025792112,Yes
FBL,0.333959269,0.025826583,Yes
SOWAHC,0.42555638,0.025891017,Yes
LINC01278,0.389295835,0.025908323,Yes
SDHAP2,-0.382210951,0.025914303,Yes
TP73,-0.390350438,0.025928149,Yes
H2BC21,0.393898571,0.025979666,Yes
RNF20,0.14702636,0.025992147,Yes
SERINC4,0.407785903,0.026005818,Yes
TPTE2P5,-0.336942821,0.026042252,Yes
ZDHHC14,-0.266851648,0.026068171,Yes
HMGXB3,-0.302432424,0.026072279,Yes
PITPNM2,-0.366550196,0.026079413,Yes
ATOSA,-0.287991572,0.026089723,Yes
FBLN5,0.369671542,0.026096619,Yes
MIS18BP1,-0.433234766,0.02610126,Yes
C4orf47,0.365732363,0.026125091,Yes
SNCG,-0.285856615,0.026129339,Yes
IGFBPL1,-0.369707112,0.026130417,Yes
LINC02798,-0.398787587,0.026134101,Yes
VPS51,0.218063077,0.026169259,Yes
SLC2A4RG,0.432102843,0.026170678,Yes
LAPTM5,0.310734789,0.026178263,Yes
SNAP23,0.429955763,0.026200239,Yes
PLCXD1,-0.380518622,0.026224894,Yes
AHSA1,0.405967193,0.026260096,Yes
E2F3,-0.41135468,0.026266116,Yes
BAIAP2-DT,-0.333080827,0.02627096,Yes
VPS41,-0.329911666,0.026281215,Yes
NPY2R,-0.394427343,0.026305926,Yes
MBD4,-0.226035238,0.026322716,Yes
ATXN3,-0.244242269,0.02637677,Yes
HERC5,0.425731811,0.026382429,Yes
CLEC9A,0.254675351,0.026422175,Yes
CIAO1,-0.175503554,0.026434388,Yes
TTC7B,0.219953149,0.026435287,Yes
LGR6,-0.35867136,0.026442299,Yes
HNRNPH3,0.344015759,0.026486416,Yes
TRPC1,-0.377284217,0.026512864,Yes
RPL21P28,0.410776997,0.026527284,Yes
IFNGR1,0.314451341,0.026527341,Yes
CCDC144NL-AS1,-0.440466487,0.026528064,Yes
LUZP1,-0.382197143,0.026544885,Yes
ZNF500,-0.262796997,0.026565708,Yes
ST7,0.291501792,0.026650068,Yes
AKAP5,-0.339341936,0.026666593,Yes
SLC4A5,0.402741553,0.026672912,Yes
ZNF92,0.239148359,0.026673155,Yes
PARM1,-0.377307769,0.026686507,Yes
UGP2,0.30105834,0.026691248,Yes
MCM5,0.423928157,0.026716036,Yes
TRIO,-0.382812052,0.026726263,Yes
PCCA-DT,0.417921206,0.02673205,Yes
MOV10,0.425702745,0.026733101,Yes
RHOD,0.300507714,0.026737455,Yes
PHTF1,-0.32992835,0.02675128,Yes
MGRN1,-0.322555108,0.026781936,Yes
PVR,-0.283449756,0.026795286,Yes
MOCOS,0.431708937,0.026805455,Yes
TRIP6,0.405484279,0.026812387,Yes
APOBEC3C,0.425366529,0.026822174,Yes
SSPOP,-0.30818439,0.026863788,Yes
STXBP5,-0.4164434,0.026890336,Yes
C2CD4D,-0.406710757,0.026915703,Yes
RNMT,-0.414063539,0.026927542,Yes
MTMR12,-0.413980601,0.026940272,Yes
ANKS1B,-0.366904074,0.026942157,Yes
ZNF805,0.299282934,0.026961844,Yes
PECAM1,0.424653226,0.027022903,Yes
RPLP1,0.420905699,0.027054845,Yes
MGC16275,0.416559177,0.027061881,Yes
ZSCAN9,0.393021249,0.02706575,Yes
RPGRIP1L,-0.39098216,0.027112474,Yes
GTPBP2,-0.342225962,0.027114,Yes
NFXL1,-0.272165748,0.027118521,Yes
LOC441666,-0.422208394,0.027119943,Yes
KAZN,-0.216993832,0.027121245,Yes
PIN4,0.29418533,0.027123118,Yes
SLC35G2,0.334634234,0.02712926,Yes
SNX1,-0.239549814,0.027144436,Yes
PDE4D,-0.371861492,0.027153757,Yes
GIMAP4,0.296667985,0.027184327,Yes
KIN,-0.257962531,0.02720219,Yes
STK38,0.420201997,0.027244957,Yes
DOK1,0.418227414,0.027268702,Yes
KHSRP,0.170878107,0.02730011,Yes
LOC105369250,-0.426898519,0.027325389,Yes
ADIRF,0.420131707,0.027335197,Yes
GRN,0.315205564,0.027338017,Yes
RPGR,0.267764413,0.02734405,Yes
TIMM21,0.26432028,0.027357415,Yes
PAK1,-0.368434881,0.027358717,Yes
WDR88,-0.417624379,0.027387863,Yes
RPS11,0.428961435,0.027392015,Yes
SNHG16,0.325509889,0.027415911,Yes
PRH1,-0.297596008,0.027431189,Yes
UVRAG,-0.229328553,0.02746594,Yes
COL6A2,0.407524946,0.027470614,Yes
GJA1,0.310750594,0.027473463,Yes
SNHG28,-0.330659434,0.027481407,Yes
KDELR3,0.388855307,0.027502451,Yes
MEGF8,-0.292811601,0.027507082,Yes
NINJ2-AS1,0.361917728,0.027518197,Yes
EPB41L3,-0.412416424,0.027530357,Yes
PMS2P1,-0.265432429,0.027544467,Yes
TMEM125,-0.335721819,0.027560722,Yes
CACNA2D1,-0.417398148,0.027606113,Yes
MYH7,0.42030811,0.027623102,Yes
GIMAP2,0.415770834,0.02762388,Yes
RWDD2B,-0.319062299,0.027635905,Yes
COX20,0.36911598,0.027647837,Yes
VCPKMT,-0.382358437,0.027650068,Yes
CDC42EP2,-0.411313258,0.027650542,Yes
DLGAP1,-0.445035321,0.027655022,Yes
ARHGAP31,0.422113487,0.027707917,Yes
RPA1,0.257714911,0.027740873,Yes
ZSWIM9,0.317927361,0.027761304,Yes
LINC00265,-0.390793774,0.027764798,Yes
FDPS,-0.280168621,0.027780107,Yes
TMEM181,-0.398761012,0.027787548,Yes
PWWP2A,-0.266065908,0.027801569,Yes
MANEAL,-0.304349598,0.027802218,Yes
NFATC3,0.418415403,0.027821364,Yes
EIF2AK3,-0.22339889,0.027840889,Yes
CKMT2,-0.414883022,0.027846041,Yes
MCAM,-0.327700102,0.027849959,Yes
RPL32,0.388195595,0.027850895,Yes
ARL16,-0.26264122,0.027904339,Yes
MAD2L2,0.357023228,0.027912394,Yes
LMBRD2,-0.399025501,0.027970316,Yes
POM121C,-0.253808623,0.027974628,Yes
LINC00865,-0.398184236,0.027993004,Yes
KIF5B,0.41248948,0.028019371,Yes
INPP5E,-0.215363633,0.028079463,Yes
PPP1R12B,-0.336681241,0.02809084,Yes
SLITRK3,-0.414311651,0.028099507,Yes
RBM6,-0.226904649,0.028102461,Yes
SERTAD4,-0.413000237,0.028117676,Yes
CYB561,-0.357033019,0.028159189,Yes
SLCO4A1,0.232270123,0.028184481,Yes
EEF1AKMT1,0.328185008,0.028211331,Yes
SSR4,0.330884352,0.028233912,Yes
LOC105378586,-0.348112045,0.028240142,Yes
ZNF703,0.395191403,0.028247859,Yes
MAN1A2,-0.336517155,0.028270059,Yes
NES,0.407024765,0.028339865,Yes
ATOX1,0.256639428,0.028345526,Yes
TBC1D25,-0.319572268,0.028382771,Yes
HTATSF1,0.156505691,0.028393405,Yes
PGM2L1,-0.384835603,0.028412518,Yes
ZNF862,-0.218517109,0.02841426,Yes
WASF3,0.293041928,0.028454615,Yes
LOC101927550,-0.298693995,0.028454816,Yes
STYK1,-0.24212493,0.028482532,Yes
LOC100287808,-0.367476752,0.028484549,Yes
TTF2,-0.309432271,0.028504181,Yes
ATP6V0E2,-0.301211582,0.028533575,Yes
RNF157,-0.254855222,0.028579086,Yes
CNTN2,-0.369032379,0.02858562,Yes
GDA,-0.393830057,0.028595819,Yes
UHMK1,-0.336636949,0.028598992,Yes
TMCC3,-0.379924148,0.028616392,Yes
ZFYVE21,0.383050442,0.028618913,Yes
RAB3C,-0.366304,0.028631188,Yes
UGDH,0.344144971,0.028640595,Yes
ZDHHC7,-0.26368129,0.028640845,Yes
PNPLA3,-0.332376158,0.028681255,Yes
TMEM250,-0.250099385,0.028717576,Yes
FUCA2,0.314503824,0.028725286,Yes
MOB3B,-0.395074243,0.02876729,Yes
GOLGA2P10,0.401676019,0.028773843,Yes
CDC6,-0.400700034,0.028799789,Yes
TANK,0.25064079,0.028812591,Yes
PUS10,0.308879011,0.028824626,Yes
LOC105372117,0.407896114,0.028867821,Yes
CCDC28A,0.264114356,0.02886962,Yes
MRPL57,0.206227507,0.02889256,Yes
P2RY2,0.230127291,0.028898454,Yes
CLIC1,0.385765763,0.028906297,Yes
TDRD6,-0.387968351,0.028959119,Yes
H4C14,0.392021873,0.028965102,Yes
ZFP82,0.263618031,0.028965855,Yes
ZFTRAF1,0.29296867,0.029006163,Yes
NAPEPLD,-0.334235473,0.02904247,Yes
CCDC181,0.256444317,0.029046367,Yes
ANAPC2,-0.257382396,0.02909723,Yes
PIGW,-0.338172521,0.029121787,Yes
LRFN5-DT,-0.411493085,0.029129174,Yes
SMIM26,0.303616946,0.029136625,Yes
LRRK1,-0.409491636,0.029159278,Yes
GPR155,-0.310912788,0.029161516,Yes
P2RX6,-0.368631758,0.02917727,Yes
ABHD16A,-0.236949578,0.029178526,Yes
JMJD1C,-0.262679699,0.029201978,Yes
SMUG1,-0.225172153,0.029207791,Yes
RNA18SN4,0.032015295,0.029233451,Yes
MCOLN1,-0.393720242,0.02924458,Yes
ERH,0.277255221,0.029252042,Yes
